Length	Field
5.5205520600E+00	1.8519121700E+00
5.5355535600E+00	1.8521228600E+00
5.5505550600E+00	1.8523335500E+00
5.5655565600E+00	1.8525442500E+00
5.5805580600E+00	1.8527549400E+00
5.5955595600E+00	1.8529656300E+00
5.6105610600E+00	1.8531763300E+00
5.6255625600E+00	1.8533870200E+00
5.6405640600E+00	1.8535977200E+00
5.6555655600E+00	1.8538084100E+00
5.6705670600E+00	1.8540191100E+00
5.6855685600E+00	1.8542298000E+00
5.7005700600E+00	1.8544405000E+00
5.7155715600E+00	1.8546512000E+00
5.7305730600E+00	1.8548618900E+00
5.7455745600E+00	1.8550725900E+00
5.7605760600E+00	1.8552832900E+00
5.7755775600E+00	1.8554939800E+00
5.7905790600E+00	1.8557046800E+00
5.8055805600E+00	1.8559153800E+00
5.8205820600E+00	1.8561260800E+00
5.8355835600E+00	1.8563367800E+00
5.8505850600E+00	1.8565474800E+00
5.8655865600E+00	1.8567581700E+00
5.8805880600E+00	1.8569688700E+00
5.8955895600E+00	1.8571795700E+00
5.9105910600E+00	1.8573902700E+00
5.9255925600E+00	1.8576009700E+00
5.9405940600E+00	1.8578116800E+00
5.9555955600E+00	1.8580223800E+00
5.9705970600E+00	1.8582330800E+00
5.9855985600E+00	1.8584437800E+00
6.0006000600E+00	1.8586544800E+00
6.0156015600E+00	1.8588651800E+00
6.0306030600E+00	1.8590758800E+00
6.0456045600E+00	1.8592865900E+00
6.0606060600E+00	1.8594972900E+00
6.0756075600E+00	1.8597079900E+00
6.0906090600E+00	1.8599187000E+00
6.1056105600E+00	1.8601294000E+00
6.1206120600E+00	1.8603401100E+00
6.1356135600E+00	1.8605508100E+00
6.1506150600E+00	1.8607615100E+00
6.1656165600E+00	1.8609722200E+00
6.1806180600E+00	1.8611829200E+00
6.1956195600E+00	1.8613936300E+00
6.2106210600E+00	1.8616043400E+00
6.2256225600E+00	1.8618150400E+00
6.2406240600E+00	1.8620257500E+00
6.2556255600E+00	1.8622364600E+00
6.2706270600E+00	1.8624471600E+00
6.2856285600E+00	1.8626578700E+00
6.3006300600E+00	1.8628685800E+00
6.3156315600E+00	1.8630792800E+00
6.3306330600E+00	1.8632899900E+00
6.3456345600E+00	1.8635007000E+00
6.3606360600E+00	1.8637114100E+00
6.3756375600E+00	1.8639221200E+00
6.3906390600E+00	1.8641328300E+00
6.4056405600E+00	1.8643435400E+00
6.4206420600E+00	1.8645542500E+00
6.4356435600E+00	1.8647719600E+00
6.4506450600E+00	1.8649940200E+00
6.4656465600E+00	1.8652160700E+00
6.4806480600E+00	1.8654381300E+00
6.4956495600E+00	1.8656601900E+00
6.5106510700E+00	1.8658822400E+00
6.5256525700E+00	1.8661043000E+00
6.5406540700E+00	1.8663263600E+00
6.5556555700E+00	1.8665484100E+00
6.5706570700E+00	1.8667704700E+00
6.5856585700E+00	1.8669925300E+00
6.6006600700E+00	1.8672145900E+00
6.6156615700E+00	1.8674366400E+00
6.6306630700E+00	1.8676587000E+00
6.6456645700E+00	1.8678807600E+00
6.6606660700E+00	1.8681028100E+00
6.6756675700E+00	1.8683248700E+00
6.6906690700E+00	1.8685469300E+00
6.7056705700E+00	1.8687689800E+00
6.7206720700E+00	1.8689910400E+00
6.7356735700E+00	1.8692131000E+00
6.7506750700E+00	1.8694351500E+00
6.7656765700E+00	1.8696572100E+00
6.7806780700E+00	1.8698792700E+00
6.7956795700E+00	1.8701013200E+00
6.8106810700E+00	1.8703233800E+00
6.8256825700E+00	1.8705454400E+00
6.8406840700E+00	1.8707675000E+00
6.8556855700E+00	1.8709895500E+00
6.8706870700E+00	1.8712116100E+00
6.8856885700E+00	1.8714336700E+00
6.9006900700E+00	1.8716557200E+00
6.9156915700E+00	1.8718777800E+00
6.9306930700E+00	1.8720998400E+00
6.9456945700E+00	1.8723218900E+00
6.9606960700E+00	1.8725439500E+00
6.9756975700E+00	1.8727660100E+00
6.9906990700E+00	1.8729880600E+00
7.0057005700E+00	1.8732101200E+00
7.0207020700E+00	1.8734321800E+00
7.0357035700E+00	1.8736542300E+00
7.0507050700E+00	1.8738762900E+00
7.0657065700E+00	1.8740983500E+00
7.0807080700E+00	1.8743204100E+00
7.0957095700E+00	1.8745424600E+00
7.1107110700E+00	1.8747645200E+00
7.1257125700E+00	1.8749865800E+00
7.1407140700E+00	1.8752086300E+00
7.1557155700E+00	1.8754306900E+00
7.1707170700E+00	1.8756527500E+00
7.1857185700E+00	1.8758748000E+00
7.2007200700E+00	1.8760968600E+00
