Length	Field
4.2754275400E+00	6.8589316100E-01
4.2904290400E+00	6.8595032600E-01
4.3054305400E+00	6.8600749100E-01
4.3204320400E+00	6.8606465600E-01
4.3354335400E+00	6.8612182200E-01
4.3504350400E+00	6.8617898700E-01
4.3654365400E+00	6.8623615200E-01
4.3804380400E+00	6.8629331700E-01
4.3954395400E+00	6.8635048300E-01
4.4104410400E+00	6.8640764800E-01
4.4254425400E+00	6.8646481300E-01
4.4404440400E+00	6.8652197900E-01
4.4554455400E+00	6.8657914400E-01
4.4704470400E+00	6.8663542900E-01
4.4854485400E+00	6.8668686900E-01
4.5004500500E+00	6.8673830900E-01
4.5154515500E+00	6.8678974800E-01
4.5304530500E+00	6.8684118800E-01
4.5454545500E+00	6.8689262800E-01
4.5604560500E+00	6.8694406800E-01
4.5754575500E+00	6.8699550900E-01
4.5904590500E+00	6.8704694900E-01
4.6054605500E+00	6.8711086600E-01
4.6204620500E+00	6.8718816000E-01
4.6354635500E+00	6.8726545500E-01
4.6504650500E+00	6.8734274900E-01
4.6654665500E+00	6.8742004400E-01
4.6804680500E+00	6.8749733800E-01
4.6954695500E+00	6.8756467300E-01
4.7104710500E+00	6.8763109700E-01
4.7254725500E+00	6.8769752000E-01
4.7404740500E+00	6.8776394300E-01
4.7554755500E+00	6.8783036700E-01
4.7704770500E+00	6.8789679000E-01
4.7854785500E+00	6.8796321400E-01
4.8004800500E+00	6.8802963700E-01
4.8154815500E+00	6.8809606000E-01
4.8304830500E+00	6.8816248400E-01
4.8454845500E+00	6.8822890700E-01
4.8604860500E+00	6.8829533100E-01
4.8754875500E+00	6.8836175400E-01
4.8904890500E+00	6.8842817800E-01
4.9054905500E+00	6.8849460100E-01
4.9204920500E+00	6.8856102500E-01
4.9354935500E+00	6.8862744800E-01
4.9504950500E+00	6.8869387200E-01
4.9654965500E+00	6.8876029500E-01
4.9804980500E+00	6.8882671900E-01
4.9954995500E+00	6.8889314300E-01
5.0105010500E+00	6.8895956600E-01
5.0255025500E+00	6.8902599000E-01
5.0405040500E+00	6.8909241300E-01
5.0555055500E+00	6.8915883700E-01
5.0705070500E+00	6.8922526100E-01
5.0855085500E+00	6.8929168400E-01
5.1005100500E+00	6.8935810800E-01
5.1155115500E+00	6.8942453200E-01
5.1305130500E+00	6.8949095500E-01
5.1455145500E+00	6.8955737900E-01
5.1605160500E+00	6.8962380300E-01
5.1755175500E+00	6.8969022600E-01
5.1905190500E+00	6.8975665000E-01
5.2055205500E+00	6.8982307400E-01
5.2205220500E+00	6.8988949800E-01
5.2355235500E+00	6.8995592100E-01
5.2505250500E+00	6.9002234500E-01
5.2655265500E+00	6.9008876900E-01
5.2805280500E+00	6.9015519300E-01
5.2955295500E+00	6.9022161700E-01
5.3105310500E+00	6.9028804000E-01
5.3255325500E+00	6.9035446400E-01
5.3405340500E+00	6.9042088800E-01
5.3555355500E+00	6.9048731200E-01
5.3705370500E+00	6.9055373600E-01
5.3855385500E+00	6.9062016000E-01
5.4005400500E+00	6.9068658400E-01
5.4155415500E+00	6.9075300800E-01
5.4305430500E+00	6.9081943200E-01
5.4455445500E+00	6.9088585500E-01
5.4605460500E+00	6.9095227900E-01
5.4755475500E+00	6.9101870300E-01
5.4905490500E+00	6.9108512700E-01
5.5055505600E+00	6.9115155100E-01
5.5205520600E+00	6.9121797500E-01
5.5355535600E+00	6.9128439900E-01
5.5505550600E+00	6.9135082300E-01
